Cell,cell_type
DSP-1001660020563-B-C09,EBV-_CD4mem
DSP-1001660020563-B-C10,EBV-_CD4naive
DSP-1001660020563-B-C11,EBV-_CD8mem
DSP-1001660020563-B-C12,EBV-_CD8naive
DSP-1001660020563-B-D01,EBV-_Other
DSP-1001660020563-B-D02,EBV-_Tumor
DSP-1001660020563-B-D03,EBV-_CD4mem
DSP-1001660020563-B-D04,EBV-_CD4naive
DSP-1001660020563-B-D05,EBV-_CD8mem
DSP-1001660020563-B-D06,EBV-_CD8naive
DSP-1001660020563-B-D07,EBV-_Other
DSP-1001660020563-B-D08,EBV+_Tumor
DSP-1001660020563-B-D09,EBV+_CD4naive
DSP-1001660020563-B-D10,EBV+_CD8mem
DSP-1001660020563-B-D11,EBV+_CD8naive
DSP-1001660020563-B-D12,EBV+_Other
DSP-1001660020563-B-E01,EBV+_Tumor
DSP-1001660020563-B-E02,EBV+_CD4naive
DSP-1001660020563-B-E03,EBV+_CD8mem
DSP-1001660020563-B-E04,EBV+_CD8naive
DSP-1001660020563-B-E05,EBV+_Other
DSP-1001660020563-B-E06,EBV+_Tumor
DSP-1001660020563-B-E07,EBV+_CD4mem
DSP-1001660020563-B-E08,EBV+_CD4naive
DSP-1001660020563-B-E09,EBV+_CD8mem
DSP-1001660020563-B-E10,EBV+_CD8naive
DSP-1001660020563-B-E11,EBV+_Other
DSP-1001660020563-B-E12,EBV+_Tumor
DSP-1001660020563-B-F01,EBV+_CD4mem
DSP-1001660020563-B-F02,EBV+_CD4naive
DSP-1001660020563-B-F03,EBV+_CD8mem
DSP-1001660020563-B-F04,EBV+_CD8naive
DSP-1001660020563-B-F05,EBV+_Other
DSP-1001660020563-B-F06,EBV+_Tumor
DSP-1001660020563-B-F07,EBV+_CD4mem
DSP-1001660020563-B-F08,EBV+_CD4naive
DSP-1001660020563-B-F09,EBV+_CD8mem
DSP-1001660020563-B-F10,EBV+_CD8naive
DSP-1001660020563-B-F11,EBV+_Other
DSP-1001660020563-B-F12,EBV+_Tumor
DSP-1001660020563-B-G01,EBV+_CD4mem
DSP-1001660020563-B-G02,EBV+_CD4naive
DSP-1001660020563-B-G03,EBV+_CD8mem
DSP-1001660020563-B-G04,EBV+_CD8naive
DSP-1001660020563-B-G05,EBV+_Other
DSP-1001660020563-B-G06,EBV+_Tumor
DSP-1001660020563-B-G07,EBV+_CD4mem
DSP-1001660020563-B-G08,EBV+_CD4naive
DSP-1001660020563-B-G09,EBV+_CD8mem
DSP-1001660020563-B-G10,EBV+_CD8naive
DSP-1001660020563-B-G11,EBV+_Other
DSP-1001660020563-B-G12,EBV+_Tumor
DSP-1001660020563-B-H01,EBV+_CD4mem
DSP-1001660020563-B-H02,EBV+_CD4naive
DSP-1001660020563-B-H03,EBV+_CD8mem
DSP-1001660020563-B-H04,EBV+_CD8naive
DSP-1001660020563-B-H05,EBV+_Other
DSP-1001660020563-B-H06,EBV+_Tumor
DSP-1001660020563-B-H07,EBV+_CD4mem
DSP-1001660020563-B-H08,EBV+_CD4naive
DSP-1001660020563-B-H09,EBV+_CD8mem
DSP-1001660020563-B-H10,EBV+_CD8naive
DSP-1001660020563-B-H11,EBV+_Other
DSP-1001660020563-B-H12,EBV+_Tumor
DSP-1001660020564-C-A02,EBV+_CD4mem
DSP-1001660020564-C-A03,EBV+_CD4naive
DSP-1001660020564-C-A04,EBV+_CD8mem
DSP-1001660020564-C-A05,EBV+_CD8naive
DSP-1001660020564-C-A06,EBV+_Other
DSP-1001660020564-C-A07,EBV+_Tumor
DSP-1001660020564-C-A08,EBV+_CD4mem
DSP-1001660020564-C-A09,EBV+_CD4naive
DSP-1001660020564-C-A10,EBV+_CD8mem
DSP-1001660020564-C-A11,EBV+_CD8naive
DSP-1001660020564-C-A12,EBV+_Other
DSP-1001660020564-C-B01,EBV-_Tumor
DSP-1001660020564-C-B02,EBV-_CD4mem
DSP-1001660020564-C-B03,EBV-_CD4naive
DSP-1001660020564-C-B04,EBV-_CD8mem
DSP-1001660020564-C-B05,EBV-_CD8naive
DSP-1001660020564-C-B06,EBV-_Other
DSP-1001660020564-C-B07,EBV-_Tumor
DSP-1001660020564-C-B08,EBV-_CD4mem
DSP-1001660020564-C-B09,EBV-_CD4naive
DSP-1001660020564-C-B10,EBV-_CD8mem
DSP-1001660020564-C-B11,EBV-_CD8naive
DSP-1001660020564-C-B12,EBV-_Other
DSP-1001660020564-C-C01,EBV-_Tumor
DSP-1001660020564-C-C02,EBV-_CD4mem
DSP-1001660020564-C-C03,EBV-_CD4naive
DSP-1001660020564-C-C04,EBV-_CD8mem
DSP-1001660020564-C-C05,EBV-_CD8naive
DSP-1001660020564-C-C06,EBV-_Other
DSP-1001660020564-C-C07,EBV-_Tumor
DSP-1001660020564-C-C08,EBV-_CD4mem
DSP-1001660020564-C-C09,EBV-_CD4naive
DSP-1001660020564-C-C10,EBV-_CD8mem
DSP-1001660020564-C-C11,EBV-_CD8naive
DSP-1001660020564-C-C12,EBV-_Other
DSP-1001660020564-C-D01,EBV-_CD4mem
DSP-1001660020564-C-D02,EBV-_CD4naive
DSP-1001660020564-C-D03,EBV-_CD8mem
DSP-1001660020564-C-D04,EBV-_CD8naive
DSP-1001660020564-C-D05,EBV-_Other
DSP-1001660020564-C-D06,EBV-_Tumor
DSP-1001660020564-C-D07,EBV-_CD4mem
DSP-1001660020564-C-D08,EBV-_CD4naive
DSP-1001660020564-C-D09,EBV-_CD8mem
DSP-1001660020564-C-D10,EBV-_CD8naive
DSP-1001660020564-C-D11,EBV-_Other
DSP-1001660020564-C-D12,EBV+_Tumor
DSP-1001660020564-C-E01,EBV+_CD4mem
DSP-1001660020564-C-E02,EBV+_CD4naive
DSP-1001660020564-C-E03,EBV+_CD8mem
DSP-1001660020564-C-E04,EBV+_CD8naive
DSP-1001660020564-C-E05,EBV+_Other
DSP-1001660020564-C-E06,EBV+_Tumor
DSP-1001660020564-C-E07,EBV+_CD4mem
DSP-1001660020564-C-E08,EBV+_CD4naive
DSP-1001660020564-C-E09,EBV+_CD8mem
DSP-1001660020564-C-E10,EBV+_CD8naive
DSP-1001660020564-C-E11,EBV+_Other
DSP-1001660020564-C-E12,EBV+_Tumor
DSP-1001660020564-C-F01,EBV+_CD4mem
DSP-1001660020564-C-F02,EBV+_CD4naive
DSP-1001660020564-C-F03,EBV+_CD8mem
DSP-1001660020564-C-F04,EBV+_CD8naive
DSP-1001660020564-C-F05,EBV+_Other
DSP-1001660020564-C-F06,EBV+_Tumor
DSP-1001660020564-C-F07,EBV+_CD4mem
DSP-1001660020564-C-F08,EBV+_CD4naive
DSP-1001660020564-C-F09,EBV+_CD8mem
DSP-1001660020564-C-F10,EBV+_CD8naive
DSP-1001660020564-C-F11,EBV+_Other
DSP-1001660020564-C-F12,EBV+_Tumor
DSP-1001660020564-C-G01,EBV+_CD4mem
DSP-1001660020564-C-G02,EBV+_CD4naive
DSP-1001660020564-C-G03,EBV+_CD8mem
DSP-1001660020564-C-G04,EBV+_CD8naive
DSP-1001660020564-C-G05,EBV+_Other
DSP-1001660020564-C-G06,EBV+_Tumor
DSP-1001660020564-C-G07,EBV+_CD4mem
DSP-1001660020564-C-G08,EBV+_CD4naive
DSP-1001660020564-C-G09,EBV+_CD8mem
DSP-1001660020564-C-G10,EBV+_CD8naive
DSP-1001660020564-C-G11,EBV+_Other
DSP-1001660020564-C-G12,EBV+_Tumor
DSP-1001660020564-C-H01,EBV+_CD4mem
DSP-1001660020564-C-H02,EBV+_CD4naive
DSP-1001660020564-C-H03,EBV+_CD8mem
DSP-1001660020564-C-H04,EBV+_CD8naive
DSP-1001660020564-C-H05,EBV+_Other
DSP-1001660020564-C-H06,EBV+_Tumor
DSP-1001660020564-C-H07,EBV+_CD4mem
DSP-1001660020564-C-H08,EBV+_CD4naive
DSP-1001660020564-C-H09,EBV+_CD8naive
DSP-1001660020564-C-H10,EBV+_Other
DSP-1001660020564-C-H11,EBV+_Tumor
DSP-1001660020564-C-H12,EBV+_CD4mem
DSP-1001660020565-D-A02,EBV+_CD4naive
DSP-1001660020565-D-A03,EBV+_CD8naive
DSP-1001660020565-D-A04,EBV+_Other
DSP-1001660020565-D-A05,EBV+_Tumor
DSP-1001660020565-D-A06,EBV+_CD4mem
DSP-1001660020565-D-A07,EBV+_CD4naive
DSP-1001660020565-D-A08,EBV+_CD8naive
DSP-1001660020565-D-A09,EBV+_Other
DSP-1001660020565-D-A10,EBV+_Tumor
DSP-1001660020565-D-A11,EBV+_CD4mem
DSP-1001660020565-D-A12,EBV+_CD4naive
DSP-1001660020565-D-B01,EBV+_CD8naive
DSP-1001660020565-D-B02,EBV+_Other
DSP-1001660020565-D-B03,EBV+_Tumor
DSP-1001660020565-D-B04,EBV+_CD4mem
DSP-1001660020565-D-B05,EBV+_CD4naive
DSP-1001660020565-D-B06,EBV+_CD8naive
DSP-1001660020565-D-B07,EBV+_Other
DSP-1001660020565-D-B08,EBV+_Tumor
DSP-1001660020565-D-B09,EBV+_CD4mem
DSP-1001660020565-D-B10,EBV+_CD4naive
DSP-1001660020565-D-B11,EBV+_CD8naive
DSP-1001660020565-D-B12,EBV+_Other
DSP-1001660020565-D-C06,EBV-_Tumor
DSP-1001660020565-D-C07,EBV-_CD4mem
DSP-1001660020565-D-C08,EBV-_CD4naive
DSP-1001660020565-D-C09,EBV-_CD8mem
DSP-1001660020565-D-C10,EBV-_CD8naive
DSP-1001660020565-D-C11,EBV-_Other
DSP-1001660020565-D-C12,EBV-_Tumor
DSP-1001660020565-D-D01,EBV-_CD4mem
DSP-1001660020565-D-D02,EBV-_CD4naive
DSP-1001660020565-D-D03,EBV-_CD8mem
DSP-1001660020565-D-D04,EBV-_CD8naive
DSP-1001660020565-D-D05,EBV-_Other
DSP-1001660020565-D-D06,EBV+_Tumor
DSP-1001660020565-D-D07,EBV+_CD4mem
DSP-1001660020565-D-D08,EBV+_CD4naive
DSP-1001660020565-D-D09,EBV+_CD8mem
DSP-1001660020565-D-D10,EBV+_CD8naive
DSP-1001660020565-D-D11,EBV+_Other
DSP-1001660020565-D-D12,EBV+_Tumor
DSP-1001660020565-D-E01,EBV+_CD4mem
DSP-1001660020565-D-E02,EBV+_CD4naive
DSP-1001660020565-D-E03,EBV+_CD8mem
DSP-1001660020565-D-E04,EBV+_CD8naive
DSP-1001660020565-D-E05,EBV+_Other
DSP-1001660020565-D-E06,EBV+_Tumor
DSP-1001660020565-D-E07,EBV+_CD4mem
DSP-1001660020565-D-E08,EBV+_CD4naive
DSP-1001660020565-D-E09,EBV+_CD8mem
DSP-1001660020565-D-E10,EBV+_CD8naive
DSP-1001660020565-D-E11,EBV+_Other
DSP-1001660020565-D-E12,EBV+_Tumor
DSP-1001660020565-D-F01,EBV+_CD4mem
DSP-1001660020565-D-F02,EBV+_CD4naive
DSP-1001660020565-D-F03,EBV+_CD8mem
DSP-1001660020565-D-F04,EBV+_CD8naive
DSP-1001660020565-D-F05,EBV+_Other
DSP-1001660020565-D-F06,EBV-_Tumor
DSP-1001660020565-D-F07,EBV-_CD4mem
DSP-1001660020565-D-F08,EBV-_CD4naive
DSP-1001660020565-D-F09,EBV-_CD8mem
DSP-1001660020565-D-F10,EBV-_CD8naive
DSP-1001660020565-D-F11,EBV-_Other
DSP-1001660020565-D-F12,EBV-_Tumor
DSP-1001660020565-D-G01,EBV-_CD4mem
DSP-1001660020565-D-G02,EBV-_CD4naive
DSP-1001660020565-D-G03,EBV-_CD8mem
DSP-1001660020565-D-G04,EBV-_CD8naive
DSP-1001660020565-D-G05,EBV-_Other
DSP-1001660020565-D-G06,EBV-_Tumor
DSP-1001660020565-D-G07,EBV-_CD4mem
DSP-1001660020565-D-G08,EBV-_CD4naive
DSP-1001660020565-D-G09,EBV-_CD8mem
DSP-1001660020565-D-G10,EBV-_CD8naive
DSP-1001660020565-D-G11,EBV-_Other
DSP-1001660020565-D-G12,EBV-_Tumor
DSP-1001660020565-D-H01,EBV-_CD4mem
DSP-1001660020565-D-H02,EBV-_CD4naive
DSP-1001660020565-D-H03,EBV-_CD8mem
DSP-1001660020565-D-H04,EBV-_CD8naive
DSP-1001660020565-D-H05,EBV-_Other
DSP-1001660020565-D-H06,EBV-_Tumor
DSP-1001660020565-D-H07,EBV-_CD4mem
DSP-1001660020565-D-H08,EBV-_CD4naive
DSP-1001660020565-D-H09,EBV-_CD8mem
DSP-1001660020565-D-H10,EBV-_CD8naive
DSP-1001660020565-D-H11,EBV-_Other
DSP-1001660020565-D-H12,EBV-_CD4mem
DSP-1001660018929-E-A02,EBV-_CD4naive
DSP-1001660018929-E-A03,EBV-_CD8mem
DSP-1001660018929-E-A04,EBV-_CD8naive
DSP-1001660018929-E-A05,EBV-_Other
DSP-1001660018929-E-A06,EBV+_Tumor
DSP-1001660018929-E-A07,EBV+_CD4mem
DSP-1001660018929-E-A08,EBV+_CD4naive
DSP-1001660018929-E-A09,EBV+_CD8mem
DSP-1001660018929-E-A10,EBV+_CD8naive
DSP-1001660018929-E-A11,EBV+_Other
DSP-1001660018929-E-A12,EBV+_Tumor
DSP-1001660018929-E-B01,EBV+_CD4mem
DSP-1001660018929-E-B02,EBV+_CD4naive
DSP-1001660018929-E-B03,EBV+_CD8mem
DSP-1001660018929-E-B04,EBV+_CD8naive
DSP-1001660018929-E-B05,EBV+_Other
DSP-1001660018929-E-B06,EBV+_Tumor
DSP-1001660018929-E-B07,EBV+_CD4mem
DSP-1001660018929-E-B08,EBV+_CD4naive
DSP-1001660018929-E-B09,EBV+_CD8mem
DSP-1001660018929-E-B10,EBV+_CD8naive
DSP-1001660018929-E-B11,EBV+_Other
DSP-1001660018929-E-B12,EBV+_Tumor
DSP-1001660018929-E-C01,EBV+_CD4mem
DSP-1001660018929-E-C02,EBV+_CD4naive
DSP-1001660018929-E-C03,EBV+_CD8mem
DSP-1001660018929-E-C04,EBV+_CD8naive
DSP-1001660018929-E-C05,EBV+_Other
DSP-1001660018929-E-C06,EBV-_Tumor
DSP-1001660018929-E-C07,EBV-_CD4mem
DSP-1001660018929-E-C08,EBV-_CD4naive
DSP-1001660018929-E-C09,EBV-_CD8mem
DSP-1001660018929-E-C10,EBV-_CD8naive
DSP-1001660018929-E-C11,EBV-_Other
DSP-1001660018929-E-C12,EBV-_Tumor
DSP-1001660018929-E-D01,EBV-_CD4mem
DSP-1001660018929-E-D02,EBV-_CD4naive
DSP-1001660018929-E-D03,EBV-_CD8mem
DSP-1001660018929-E-D04,EBV-_CD8naive
DSP-1001660018929-E-D05,EBV-_Other
DSP-1001660018929-E-D06,EBV-_Tumor
DSP-1001660018929-E-D07,EBV-_CD4mem
DSP-1001660018929-E-D08,EBV-_CD4naive
DSP-1001660018929-E-D09,EBV-_CD8mem
DSP-1001660018929-E-D10,EBV-_CD8naive
DSP-1001660018929-E-D11,EBV-_Other
DSP-1001660018929-E-D12,EBV-_Tumor
DSP-1001660018929-E-E01,EBV-_CD4mem
DSP-1001660018929-E-E02,EBV-_CD4naive
DSP-1001660018929-E-E03,EBV-_CD8mem
DSP-1001660018929-E-E04,EBV-_CD8naive
DSP-1001660018929-E-E05,EBV-_Other
DSP-1001660018929-E-E06,EBV-_CD4mem
DSP-1001660018929-E-E07,EBV-_CD4naive
DSP-1001660018929-E-E08,EBV-_CD8mem
DSP-1001660018929-E-E09,EBV-_CD8naive
DSP-1001660018929-E-E10,EBV-_Other
DSP-1001660018929-E-E11,EBV-_Tumor
DSP-1001660018929-E-E12,EBV-_CD4mem
DSP-1001660018929-E-F01,EBV-_CD4naive
DSP-1001660018929-E-F02,EBV-_CD8mem
DSP-1001660018929-E-F03,EBV-_CD8naive
DSP-1001660018929-E-F04,EBV-_Other
DSP-1001660018929-E-F05,EBV-_Tumor
DSP-1001660018929-E-F06,EBV-_CD4mem
DSP-1001660018929-E-F07,EBV-_CD4naive
DSP-1001660018929-E-F08,EBV-_CD8mem
DSP-1001660018929-E-F09,EBV-_CD8naive
DSP-1001660018929-E-F10,EBV-_Other
DSP-1001660018929-E-F11,EBV-_Tumor
DSP-1001660018929-E-F12,EBV-_CD4mem
DSP-1001660018929-E-G01,EBV-_CD4naive
DSP-1001660018929-E-G02,EBV-_CD8mem
DSP-1001660018929-E-G03,EBV-_CD8naive
DSP-1001660018929-E-G04,EBV-_Other
DSP-1001660018929-E-G05,EBV-_Tumor
DSP-1001660018929-E-G06,EBV-_CD4mem
DSP-1001660018929-E-G07,EBV-_CD4naive
DSP-1001660018929-E-G08,EBV-_CD8mem
DSP-1001660018929-E-G09,EBV-_CD8naive
DSP-1001660018929-E-G10,EBV-_Other
DSP-1001660018929-E-G11,EBV+_Tumor
DSP-1001660018929-E-G12,EBV+_CD4mem
DSP-1001660018929-E-H01,EBV+_CD4naive
DSP-1001660018929-E-H02,EBV+_CD8mem
DSP-1001660018929-E-H03,EBV+_CD8naive
DSP-1001660018929-E-H04,EBV+_Other
DSP-1001660018929-E-H05,EBV+_Tumor
DSP-1001660018929-E-H06,EBV+_CD4mem
DSP-1001660018929-E-H07,EBV+_CD4naive
DSP-1001660018929-E-H08,EBV+_CD8mem
DSP-1001660018929-E-H09,EBV+_CD8naive
DSP-1001660018929-E-H10,EBV+_Other
DSP-1001660018929-E-H11,EBV+_Tumor
DSP-1001660018929-E-H12,EBV+_CD4mem
DSP-1001660018926-F-A02,EBV+_CD4naive
DSP-1001660018926-F-A03,EBV+_CD8mem
DSP-1001660018926-F-A04,EBV+_CD8naive
DSP-1001660018926-F-A05,EBV+_Other
DSP-1001660018926-F-A06,EBV-_Tumor
DSP-1001660018926-F-A07,EBV-_CD4mem
DSP-1001660018926-F-A08,EBV-_CD4naive
DSP-1001660018926-F-A09,EBV-_CD8mem
DSP-1001660018926-F-A10,EBV-_CD8naive
DSP-1001660018926-F-A11,EBV-_Other
DSP-1001660018926-F-A12,EBV-_Tumor
DSP-1001660018926-F-B01,EBV-_CD4mem
DSP-1001660018926-F-B02,EBV-_CD4naive
DSP-1001660018926-F-B03,EBV-_CD8mem
DSP-1001660018926-F-B04,EBV-_CD8naive
DSP-1001660018926-F-B05,EBV-_Other
DSP-1001660018926-F-B06,EBV+_Tumor
DSP-1001660018926-F-B07,EBV+_CD4mem
DSP-1001660018926-F-B08,EBV+_CD4naive
DSP-1001660018926-F-B09,EBV+_CD8mem
DSP-1001660018926-F-B10,EBV+_CD8naive
DSP-1001660018926-F-B11,EBV+_Other
DSP-1001660018926-F-B12,EBV-_Tumor
DSP-1001660018926-F-C01,EBV-_CD4mem
DSP-1001660018926-F-C02,EBV-_CD4naive
DSP-1001660018926-F-C03,EBV-_CD8mem
DSP-1001660018926-F-C04,EBV-_CD8naive
DSP-1001660018926-F-C05,EBV-_Other
DSP-1001660018926-F-C06,EBV-_Tumor
DSP-1001660018926-F-C07,EBV-_CD4mem
DSP-1001660018926-F-C08,EBV-_CD4naive
DSP-1001660018926-F-C09,EBV-_CD8mem
DSP-1001660018926-F-C10,EBV-_CD8naive
DSP-1001660018926-F-C11,EBV-_Other
DSP-1001660018926-F-C12,EBV+_Tumor
DSP-1001660018926-F-D01,EBV+_CD4mem
DSP-1001660018926-F-D02,EBV+_CD4naive
DSP-1001660018926-F-D03,EBV+_CD8mem
DSP-1001660018926-F-D04,EBV+_CD8naive
DSP-1001660018926-F-D05,EBV+_Other
DSP-1001660018926-F-D06,EBV+_Tumor
DSP-1001660018926-F-D07,EBV+_CD4mem
DSP-1001660018926-F-D08,EBV+_CD4naive
DSP-1001660018926-F-D09,EBV+_CD8mem
DSP-1001660018926-F-D10,EBV+_CD8naive
DSP-1001660018926-F-D11,EBV+_Other
DSP-1001660018926-F-D12,EBV-_Tumor
DSP-1001660018926-F-E01,EBV-_CD4mem
DSP-1001660018926-F-E02,EBV-_CD4naive
DSP-1001660018926-F-E03,EBV-_CD8mem
DSP-1001660018926-F-E04,EBV-_CD8naive
DSP-1001660018926-F-E05,EBV-_Other
DSP-1001660018926-F-E06,EBV-_Tumor
DSP-1001660018926-F-E07,EBV-_CD4mem
DSP-1001660018926-F-E08,EBV-_CD4naive
DSP-1001660018926-F-E09,EBV-_CD8mem
DSP-1001660018926-F-E10,EBV-_CD8naive
DSP-1001660018926-F-E11,EBV-_Other
DSP-1001660018926-F-E12,EBV+_Tumor
DSP-1001660018926-F-F01,EBV+_CD4mem
DSP-1001660018926-F-F02,EBV+_CD4naive
DSP-1001660018926-F-F03,EBV+_CD8mem
DSP-1001660018926-F-F04,EBV+_CD8naive
DSP-1001660018926-F-F05,EBV+_Other
DSP-1001660018926-F-F06,EBV+_Tumor
DSP-1001660018926-F-F07,EBV+_CD4mem
DSP-1001660018926-F-F08,EBV+_CD4naive
DSP-1001660018926-F-F09,EBV+_CD8mem
DSP-1001660018926-F-F10,EBV+_CD8naive
DSP-1001660018926-F-F11,EBV+_Other
DSP-1001660018926-F-F12,EBV-_Tumor
DSP-1001660018926-F-G01,EBV-_CD4mem
DSP-1001660018926-F-G02,EBV-_CD4naive
DSP-1001660018926-F-G03,EBV-_CD8mem
DSP-1001660018926-F-G04,EBV-_CD8naive
DSP-1001660018926-F-G05,EBV-_Other
DSP-1001660018926-F-G06,EBV-_Tumor
DSP-1001660018926-F-G07,EBV-_CD4mem
DSP-1001660018926-F-G08,EBV-_CD4naive
DSP-1001660018926-F-G09,EBV-_CD8mem
DSP-1001660018926-F-G10,EBV-_CD8naive
DSP-1001660018926-F-G11,EBV-_Other
DSP-1001660018926-F-G12,EBV-_Tumor
